label_id,label_name,label_frequency
0,user_item_low,422465
1,user_item_high,571704
2,item_user_high,571704
3,item_user_low,422465
4,cinematography,1509
5,productionCompanies,4329
6,composer,2036
7,subject,41611
8,openingFilm,23
9,rdf-schema#seeAlso,21
10,story,131
11,series ,2
12,rdf-syntax-ns#type,87280
13,basedOn,49
14,starring,9788
15,country,338
16,wikiPageWikiLink,163745
17,hypernym,2595
24,cinematography,1509
25,productionCompanies,4329
26,composer,2036
27,subject,41611
28,openingFilm,23
29,rdf-schema#seeAlso,21
30,story,131
31,series ,2
32,rdf-syntax-ns#type,87280
33,basedOn,49
34,starring,9788
35,country,338
36,wikiPageWikiLink,163745
37,hypernym,2595
